;;Temperature (C);Wind speed (km/h);Wind gust (km/h);Wind direction (deg);Humidity (%);Rainfall (mm);Pressure (hPa);Battery voltage (V)
01/04/2025 0:00;0:00:10;-0.1;0;0;4;85.2;0;1017.7;4.13
01/04/2025 0:00;0:02:10;0.1;1;4;4;85.7;0;1017.7;4.13
01/04/2025 0:00;0:04:10;0.2;0;2;4;83.9;0;1017.6;4.13
01/04/2025 0:00;0:06:10;0.1;0;0;4;84.1;0;1017.5;4.13
01/04/2025 0:00;0:08:10;-0.2;3;5;4;85.4;0;1017.6;4.13
01/04/2025 0:00;0:10:10;-0.6;3;4;4;85.9;0;1017.9;4.13
01/04/2025 0:00;0:12:10;-0.8;3;4;4;86.1;0;1018;4.13
01/04/2025 0:00;0:14:10;-0.9;2;4;4;86.9;0;1018.1;4.13
01/04/2025 0:00;0:16:10;-1;2;3;4;87.3;0;1018.1;4.13
01/04/2025 0:00;0:18:10;-1;0;2;4;87.4;0;1018.1;4.13
01/04/2025 0:00;0:20:10;-1;0;0;4;87.4;0;1018.1;4.13
01/04/2025 0:00;0:22:10;-1;0;0;4;87.9;0;1018.1;4.13
01/04/2025 0:00;0:24:10;-1.1;0;0;4;88;0;1018.2;4.13
01/04/2025 0:00;0:26:10;-1;0;0;4;88.6;0;1018;4.13
01/04/2025 0:00;0:28:10;-1;0;0;4;88.7;0;1018.1;4.13
01/04/2025 0:00;0:30:10;-1;0;0;4;88.6;0;1018;4.13
01/04/2025 0:00;0:32:10;-1;0;0;4;88.8;0;1018.1;4.13
01/04/2025 0:00;0:34:10;-1;0;0;4;88.6;0;1018.1;4.13
01/04/2025 0:00;0:36:10;-1;0;0;4;88.9;0;1018;4.13
01/04/2025 0:00;0:38:10;-1.3;0;3;4;89;0;1018.2;4.13
01/04/2025 0:00;0:40:10;-1.5;2;4;4;89.1;0;1018.3;4.13
01/04/2025 0:00;0:42:10;-1.6;1;3;4;89.3;0;1018.3;4.13
01/04/2025 0:00;0:44:10;-1.7;2;3;4;89.7;0;1018.2;4.13
01/04/2025 0:00;0:46:10;-1.7;1;3;4;90.1;0;1018.3;4.13
01/04/2025 0:00;0:48:10;-1.7;0;0;4;90.4;0;1018.3;4.13
01/04/2025 0:00;0:50:10;-1.7;0;0;4;90.4;0;1018.3;4.13
01/04/2025 0:00;0:52:10;-1.7;0;0;4;90.4;0;1018.3;4.13
01/04/2025 0:00;0:54:10;-1.6;0;0;4;90.3;0;1018.3;4.13
